,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp (F),Wind Speed
30,Batagay,44,RU,78,67.63,134.63,-38.52,2.95
31,Hami,0,CN,65,42.8,93.45,9.72,2.06
32,Berdigestyakh,24,RU,50,62.1,126.7,-30.42,4.74
33,Kapaa,40,US,60,22.08,-159.32,75.2,18.34
34,Prieska,0,ZA,15,-29.66,22.75,61.61,5.64
35,Provideniya,75,RU,100,64.38,-173.3,32.0,4.47
36,Thompson,90,CA,85,55.74,-97.86,19.4,3.36
37,Tura,80,RU,81,64.28,100.25,-19.44,2.39
38,Faanui,76,PF,98,-16.48,-151.75,82.35,12.8
39,Bambous Virieux,20,MU,69,-20.34,57.76,78.8,12.75
40,Cherskiy,80,RU,82,68.75,161.3,18.81,8.32
41,Rikitea,76,PF,100,-23.12,-134.97,76.6,17.83
42,Vaini,75,TO,88,-21.2,-175.2,78.8,10.29
43,New Norfolk,75,AU,50,-42.78,147.06,57.2,18.34
44,Salug,32,PH,100,8.11,122.78,78.31,7.76
45,Praia da Vitoria,40,PT,88,38.73,-27.07,64.4,20.07
46,Denpasar,40,ID,94,-8.65,115.22,78.8,4.7
47,Saint-Philippe,0,RE,78,-21.36,55.77,78.8,4.7
48,Gewane,0,ET,72,10.17,40.65,59.58,3.74
49,Kyabe,0,TD,48,9.45,18.94,71.06,3.96
50,Fukue,80,JP,100,32.69,128.84,59.68,19.73
51,Bijni,0,IN,84,26.5,90.7,55.4,2.39
52,Acarau,0,BR,63,-2.89,-40.12,83.52,17.83
53,Port-Gentil,75,GA,83,-0.72,8.78,82.4,8.05
54,Port Alfred,64,ZA,96,-33.59,26.89,65.35,3.51
55,Naze,92,JP,100,28.37,129.48,65.75,7.09
56,Bengkulu,88,ID,100,-3.8,102.27,76.6,9.44
57,Sao Filipe,0,CV,95,14.9,-24.5,77.94,16.82
58,Kosh-Agach,0,RU,23,50.0,88.67,-20.61,2.39
59,Longyearbyen,75,SJ,89,78.22,15.64,32.0,23.04
60,Kang,24,BW,80,-23.68,22.79,65.3,9.22
61,Chokurdakh,76,RU,78,70.63,147.92,5.0,14.36
62,Kulhudhuffushi,56,MV,100,6.62,73.07,80.91,7.09
63,Arraial do Cabo,75,BR,83,-22.97,-42.03,77.0,11.41
64,Independence,20,US,64,39.09,-94.42,69.8,14.99
65,Souillac,20,MU,69,-20.52,57.52,78.8,12.75
66,Sorland,75,NO,59,67.67,12.69,33.8,4.7
67,Manzhouli,0,CN,47,49.6,117.43,-17.59,7.43
68,Svetlogorsk,75,RU,100,54.94,20.15,32.0,15.66
69,Mount Isa,0,AU,28,-20.73,139.5,71.6,17.22
70,Chakwal,0,PK,90,32.93,72.86,44.6,2.95
71,Grand Gaube,20,MU,69,-20.01,57.66,78.8,12.75
72,Havre-Saint-Pierre,90,CA,79,50.23,-63.6,26.6,3.36
73,Hithadhoo,88,MV,100,-0.6,73.08,80.01,14.03
74,Guerrero Negro,0,MX,74,27.98,-114.06,70.7,9.78
75,Penaranda,75,PH,83,15.35,121.0,77.0,6.93
76,Nikolsk,92,RU,91,53.72,46.07,30.96,8.43
77,Iralaya,20,HN,79,15.0,-83.23,84.2,9.44
78,Dongsheng,0,CN,72,39.82,109.98,0.86,8.77
79,Poum,44,NC,100,-20.23,164.02,76.23,7.76
80,Cape Town,20,ZA,67,-33.93,18.42,60.8,9.17
81,Hualmay,24,PE,68,-11.1,-77.61,71.78,6.98
82,Leningradskiy,88,RU,96,69.38,178.42,27.95,21.52
83,Fortuna,75,US,66,40.6,-124.16,51.8,8.05
84,Cerrito,68,PY,68,-27.32,-57.67,81.91,12.8
85,Komsomolskiy,12,RU,87,43.98,46.7,47.7,16.71
86,Linxia,8,CN,60,35.6,103.21,-1.53,1.83
87,Port Elizabeth,0,ZA,87,-33.92,25.57,60.8,4.7
88,Victoria,75,SC,83,-4.62,55.45,80.6,5.82
89,Port Blair,12,IN,97,11.67,92.75,84.16,16.82
90,Nanortalik,20,GL,100,60.14,-45.24,27.9,12.8
91,Abashiri,0,JP,68,44.02,144.27,13.73,2.73
92,Praia,40,CV,73,14.92,-23.51,77.0,19.46
93,Barrow,90,US,84,71.29,-156.79,6.8,29.97
94,Aljezur,0,PT,100,37.32,-8.8,50.9,15.03
95,Saskylakh,12,RU,63,71.92,114.08,-21.69,7.65
96,Lebu,8,CL,95,-37.62,-73.65,56.03,7.87
97,Kamaishi,0,JP,90,39.27,141.88,34.02,2.62
98,Punta Arenas,75,CL,44,-53.15,-70.92,60.8,24.16
99,Rauma,8,FI,92,61.13,21.5,30.2,3.36
100,Necochea,0,AR,77,-38.55,-58.74,59.14,16.49
101,Puerto Ayora,75,EC,51,-0.74,-90.35,84.2,14.99
102,Santa Isabel do Rio Negro,44,BR,92,-0.41,-65.02,81.27,5.41
103,Hilo,90,US,60,19.73,-155.09,75.2,9.17
104,Bredasdorp,0,ZA,59,-34.53,20.04,66.2,2.24
105,Cullen,0,GB,75,57.69,-2.82,44.6,10.29
106,Fochville,12,ZA,85,-26.49,27.49,58.32,2.62
107,Kruisfontein,0,ZA,92,-34.0,24.73,59.81,6.08
108,Dunedin,32,NZ,53,-45.87,170.5,71.06,3.74
109,Qaanaaq,76,GL,90,77.48,-69.36,15.08,7.76
110,Hermanus,0,ZA,97,-34.42,19.23,51.98,2.62
111,Bethel,75,US,87,41.37,-73.41,48.2,2.17
112,Pacific Grove,1,US,44,36.62,-121.92,59.0,12.75
113,Pangnirtung,75,CA,78,66.15,-65.71,14.0,2.95
114,Avarua,40,CK,70,-21.21,-159.78,84.2,5.82
115,Palu,20,ID,100,-0.89,119.87,79.2,3.18
116,Nouadhibou,0,MR,73,20.93,-17.03,69.8,16.11
117,Hobart,75,AU,62,-42.88,147.33,53.6,13.87
118,Port Keats,0,AU,100,-14.25,129.55,76.46,1.61
119,Korla,88,CN,80,41.76,86.15,21.6,3.74
120,Ambilobe,0,MG,69,-13.2,49.05,78.8,10.0
121,Mnogovershinnyy,0,RU,75,53.94,139.92,-7.29,7.31
122,Adelaide,75,AU,77,-34.93,138.6,59.0,6.93
123,Ancud,44,CL,64,-41.87,-73.82,67.55,3.51
124,Khatanga,0,RU,57,71.97,102.5,-19.76,12.91
125,Saint George,40,BM,60,32.38,-64.68,69.8,8.05
126,Abomey,0,BJ,59,7.18,1.99,82.62,9.1
127,Modasa,56,IN,55,23.47,73.3,65.93,10.45
128,Meulaboh,92,ID,100,4.14,96.13,74.89,12.01
129,Bilibino,36,RU,97,68.05,166.44,-3.82,3.29
130,Ribeira Grande,75,PT,88,38.52,-28.7,66.2,14.99
131,Sitka,90,US,87,57.05,-135.33,42.8,9.17
132,Tuatapere,56,NZ,74,-46.13,167.68,65.93,11.9
133,Berlevag,90,NO,100,70.86,29.09,33.8,24.16
134,Yumen,0,CN,78,40.28,97.2,9.1,5.3
135,Tasiilaq,76,GL,57,65.61,-37.64,23.0,5.82
136,Margherita,0,IN,86,27.28,95.68,52.25,1.95
137,Chato,0,TZ,100,-2.64,31.77,65.44,1.72
138,Talnakh,68,RU,85,69.49,88.4,8.65,7.87
139,Lompoc,1,US,39,34.64,-120.46,69.8,19.84
140,Malanje,12,AO,93,-9.54,16.34,67.86,4.85
141,Bluff,24,NZ,86,-46.6,168.33,64.44,10.67
142,Tiksi,32,RU,68,71.69,128.87,-22.95,3.4
143,Saldanha,0,ZA,77,-33.01,17.94,59.0,6.93
144,Cacequi,92,BR,77,-29.88,-54.83,76.41,9.33
145,Tome,0,CL,59,-36.62,-72.95,64.4,11.41
146,Svetlyy,75,RU,85,54.67,20.13,32.0,15.66
147,Santa Maria,75,CV,69,16.6,-22.9,77.0,16.11
148,Karratha,48,AU,58,-20.74,116.85,77.05,5.64
149,Lokhvytsya,92,UA,93,50.37,33.26,39.7,5.53
150,Bali Chak,0,IN,83,22.37,87.55,55.62,3.4
151,La Spezia,0,IT,55,44.11,9.84,37.4,3.36
152,Hamilton,40,BM,60,32.29,-64.78,69.8,8.05
153,Borogontsy,12,RU,0,62.67,131.17,-46.62,3.06
154,Ouesso,92,CG,85,1.61,16.05,74.93,3.06
155,Felanitx,20,ES,93,39.47,3.15,35.6,2.24
156,Biltine,0,TD,26,14.53,20.92,65.7,9.33
157,Xining,48,CN,69,36.62,101.77,5.05,2.06
158,Nakamura,24,JP,100,32.98,132.93,56.7,8.1
159,Vila Velha,75,BR,83,-20.33,-40.29,77.0,6.93
160,Poronaysk,24,RU,100,49.22,143.12,9.9,13.58
161,Westport,68,IE,99,53.8,-9.52,44.06,6.98
162,Vanimo,32,PG,100,-2.67,141.3,84.79,17.72
163,Sembe,64,CG,87,1.65,14.58,74.97,2.06
164,Pa Daet,40,TH,100,19.5,99.99,60.8,2.62
165,Ponta Delgada,20,PT,82,37.73,-25.67,66.2,11.41
166,Baykit,88,RU,78,61.67,96.37,0.86,6.53
167,Jamestown,64,SH,100,-15.94,-5.72,68.94,15.37
168,Mar del Plata,90,AR,87,-38.0,-57.56,59.0,17.22
169,Evensk,80,RU,100,61.95,159.23,23.0,9.33
170,Santa Cruz de la Palma,75,ES,82,28.68,-17.76,66.2,11.41
171,Batemans Bay,92,AU,100,-35.72,150.18,55.54,6.53
172,Fatehpur,80,IN,84,25.93,80.8,53.33,2.51
173,Chuy,44,UY,96,-33.7,-53.46,66.6,14.14
174,Ilulissat,48,GL,67,69.22,-51.1,21.2,13.87
175,Mitchell,1,US,54,43.71,-98.03,53.6,16.11
176,Carutapera,0,BR,68,-1.2,-46.02,83.66,13.35
177,Roros,68,NO,79,62.57,11.38,28.4,13.87
178,Havelock,40,US,90,34.88,-76.9,64.4,10.29
179,Manicore,12,BR,97,-5.81,-61.3,80.56,2.17
180,Koryazhma,80,RU,86,61.31,47.17,28.45,10.0
181,Oshikango,48,NA,30,-17.4,15.88,86.0,3.36
182,Caravelas,0,BR,98,-17.71,-39.25,79.7,23.76
183,Geraldton,90,AU,88,-28.77,114.6,69.8,4.7
184,Ahipara,0,NZ,75,-35.17,173.17,69.35,3.96
185,Nykoping,0,SE,92,58.75,17.01,30.2,8.05
186,Nileshwar,24,IN,100,12.25,75.1,80.01,17.6
187,Pevek,80,RU,90,69.7,170.31,21.33,18.5
188,Beyneu,12,KZ,83,45.32,55.2,13.86,7.43
189,Luderitz,0,NA,72,-26.65,15.16,60.8,18.34
190,Severo-Kurilsk,44,RU,100,50.68,156.12,24.49,16.71
191,Cabo San Lucas,75,MX,69,22.89,-109.91,80.6,11.41
192,Norman Wells,40,CA,76,65.28,-126.83,-5.81,5.82
193,Araouane,0,ML,38,18.9,-3.53,66.16,5.3
194,Broome,24,AU,74,-17.97,122.23,86.0,5.82
195,Oranjestad,20,AW,70,12.52,-70.03,87.8,16.11
196,La Peca,64,PE,84,-5.61,-78.44,72.86,2.73
197,Elizabeth City,1,US,71,36.29,-76.25,62.6,6.93
198,Razdolinsk,92,RU,75,58.42,94.67,11.48,9.1
199,Ossora,12,RU,97,59.24,163.07,3.56,4.07
200,Aswan,0,EG,59,24.09,32.91,68.22,10.0
201,Te Anau,20,NZ,58,-45.42,167.72,64.18,8.32
202,Saint-Joseph,0,RE,78,-21.37,55.62,78.8,4.7
203,Tromso,40,NO,96,69.65,18.96,32.0,20.8
204,Shimoda,0,JP,100,34.67,138.95,56.8,8.55
205,Dingle,88,IE,97,52.14,-10.27,50.0,8.1
206,Pringsewu,64,ID,94,-5.36,104.97,74.61,2.95
207,Bhatapara,0,IN,82,21.73,81.93,52.7,2.84
208,Viedma,0,AR,37,-40.81,-63.0,68.0,11.9
209,Georgetown,92,SH,100,-7.93,-14.42,76.1,14.36
210,Virginia Beach,20,US,66,36.85,-75.98,59.0,9.17
211,Iqaluit,40,CA,66,63.75,-68.51,14.0,4.7
212,North Bend,40,US,87,43.41,-124.22,48.2,4.7
213,Karasjok,40,NO,69,69.47,25.51,33.8,24.16
214,Inuvik,20,CA,77,68.35,-133.72,-2.21,9.17
215,Valparaiso,0,CL,63,-33.04,-71.63,64.4,14.99
216,Awbari,64,LY,47,26.59,12.78,55.85,5.86
217,San Juan,64,AR,73,-31.54,-68.54,66.96,7.99
218,Eregli,0,TR,71,37.51,34.05,34.88,2.73
219,Hasaki,20,JP,100,35.73,140.83,35.6,4.7
220,Ilhabela,88,BR,97,-23.78,-45.36,71.96,13.02
221,Asilah,0,MA,61,35.47,-6.03,46.4,6.93
222,Pishin,76,PK,100,30.58,67.0,20.21,2.51
223,Lavrentiya,88,RU,98,65.58,-171.0,31.69,13.24
224,Saint George,1,US,31,37.1,-113.58,64.4,5.82
225,Alyth,0,GB,80,56.62,-3.23,41.0,4.7
226,Yulara,0,AU,50,-25.24,130.99,55.4,5.82
227,Skopelos,20,GR,87,39.12,23.72,60.8,9.17
228,Kenai,90,US,97,60.55,-151.26,33.8,20.8
229,Manokwari,36,ID,100,-0.87,134.08,80.73,1.16
230,Karpathos,20,GR,82,35.51,27.21,66.2,9.17
231,Pangody,92,RU,92,65.85,74.49,24.08,16.49
232,Buta,64,CD,93,2.79,24.73,72.5,2.17
233,Homer,90,US,80,59.64,-151.55,41.0,18.34
234,Oranjemund,20,NA,95,-28.55,16.43,61.7,17.83
235,Sarkand,68,KZ,92,45.41,79.92,18.72,2.84
236,Qaqortoq,0,GL,92,60.72,-46.03,28.4,5.3
237,Dali,0,CN,100,25.7,100.18,32.85,3.4
238,Kihei,40,US,61,20.79,-156.47,77.0,17.22
239,Donegal,76,IE,100,54.65,-8.12,48.25,11.79
240,Ketchikan,90,US,93,55.34,-131.65,42.8,4.7
241,Rosario do Sul,92,BR,94,-30.26,-54.91,71.6,8.77
242,Salinopolis,20,BR,90,-0.61,-47.36,82.81,17.83
243,Guilin,90,CN,81,25.28,110.29,53.6,2.24
244,Isangel,80,VU,100,-19.55,169.27,75.43,10.0
245,Esperance,56,AU,44,-33.87,121.9,63.86,16.93
246,Richards Bay,76,ZA,82,-28.78,32.04,71.46,12.8
247,Aklavik,20,CA,83,68.22,-135.01,-2.21,11.41
248,Mecca,0,SA,58,21.43,39.83,82.4,2.62
249,Suntar,56,RU,66,62.14,117.63,-22.5,2.73
250,Kargasok,92,RU,85,59.06,80.86,23.22,7.43
251,Chateaubelair,20,VC,74,13.28,-61.25,84.2,17.22
252,Davila,36,PH,100,18.47,120.58,78.53,17.05
253,Bayevo,68,RU,81,53.28,80.77,10.4,10.78
254,Katsuura,20,JP,65,35.13,140.3,44.6,6.93
255,Diamantino,12,BR,85,-14.41,-56.45,82.13,2.95
256,Ariquemes,12,BR,57,-9.91,-63.04,91.13,2.17
257,Katima Mulilo,92,NA,71,-17.5,24.27,73.44,4.74
258,Puro,20,PH,100,12.48,123.38,78.94,7.09
259,Kamenka,92,RU,95,51.32,42.77,34.38,12.24
260,Zhanaozen,0,KZ,84,43.3,52.8,20.25,12.46
261,Alice Springs,0,AU,41,-23.7,133.88,60.8,8.05
262,Ochakiv,90,UA,100,46.61,31.55,46.4,8.95
263,Kurikka,75,FI,97,62.58,22.42,32.0,2.24
264,Adeje,75,ES,68,28.12,-16.73,68.0,16.11
265,Cayenne,0,GF,70,4.93,-52.33,84.2,10.29
266,Gardez,0,AF,63,33.6,69.23,2.97,2.28
267,Sandpoint,90,US,86,48.28,-116.55,37.4,4.7
268,Sawtell,92,AU,78,-30.38,153.1,71.6,9.17
269,Zabid,0,YE,77,14.2,43.32,69.66,5.19
270,Sedlcany,90,CZ,74,49.66,14.43,30.2,19.46
271,Srednekolymsk,80,RU,78,67.45,153.68,8.78,2.84
272,Beloha,24,MG,90,-25.17,45.05,72.45,2.95
273,Paracuru,0,BR,74,-3.41,-39.03,80.6,11.41
274,Okhotsk,24,RU,100,59.38,143.3,-18.9,8.99
275,Roma,12,AU,67,-26.58,148.78,64.26,6.98
276,Ahuimanu,75,US,47,21.44,-157.84,78.8,11.41
277,Bonavista,80,CA,100,48.65,-53.11,34.47,16.37
278,Nisia Floresta,40,BR,74,-6.09,-35.21,82.4,14.99
279,Coquimbo,20,CL,52,-29.95,-71.34,68.0,11.41
280,Barcelona,24,PH,100,8.16,126.43,79.47,6.42
281,Aberdeen,1,US,49,45.46,-98.49,46.4,6.93
282,Warrnambool,92,AU,100,-38.38,142.48,57.16,12.46
283,Scarborough,90,TT,94,11.18,-60.73,77.0,16.11
284,Morgan City,1,US,77,29.7,-91.21,69.8,5.82
285,Tahta,0,EG,63,26.77,31.5,60.8,6.93
286,Gopalpur,0,IN,100,19.27,84.92,76.06,9.22
287,Tiznit,0,MA,87,29.58,-9.5,41.76,2.39
288,Laguna,36,BR,84,-28.48,-48.78,74.75,22.08
289,Laguna de Perlas,40,NI,79,12.34,-83.67,84.2,4.7
290,Dunmore Town,0,BS,100,25.5,-76.65,76.73,13.8
291,Bagojo,75,MX,44,25.87,-109.12,80.6,4.7
292,Vung Tau,40,VN,100,10.35,107.08,77.0,2.24
293,Havoysund,90,NO,100,71.0,24.66,32.0,5.82
294,Nachingwea,0,TZ,89,-10.38,38.77,72.05,3.4
295,Luganville,92,VU,100,-15.53,167.17,75.83,3.62
296,Krasnoarmeyskoye,92,RU,82,52.72,50.03,24.31,15.59
297,Komyshuvakha,0,UA,80,47.72,35.53,41.0,6.71
298,Luau,24,AO,94,-10.71,22.22,69.04,1.83
299,Altagracia de Orituco,48,VE,60,9.86,-66.38,85.41,10.78
300,Touros,36,BR,78,-5.2,-35.46,81.1,15.03
301,Rio Gallegos,0,AR,37,-51.62,-69.22,71.6,9.17
302,Baruun-Urt,0,MN,64,46.68,113.28,-5.94,12.01
303,Deputatskiy,76,RU,71,69.3,139.9,-17.06,2.95
304,Cidreira,92,BR,98,-30.18,-50.21,70.61,3.74
305,Hambantota,44,LK,100,6.12,81.12,76.91,4.63
306,La Ronge,75,CA,92,55.1,-105.28,17.6,3.36
307,Ust-Kuyga,68,RU,76,70.02,135.6,-17.51,3.62
308,Georgetown,20,GY,79,6.8,-58.16,84.2,13.87
309,Fairbanks,20,US,92,64.84,-147.72,10.4,2.73
310,Abu Dhabi,0,AE,73,24.47,54.37,75.2,3.36
311,Kiama,75,AU,87,-34.68,150.87,57.2,14.99
312,Pangai,75,TO,83,-19.8,-174.35,84.2,9.17
313,Kibre Mengist,0,ET,90,5.88,38.98,52.25,1.72
314,Ponta do Sol,36,CV,100,17.2,-25.09,76.01,19.95
315,Adrar,0,DZ,26,27.87,-0.29,57.2,16.11
316,Sungaipenuh,64,ID,94,-2.08,101.38,68.0,1.61
317,Shatki,92,RU,94,55.19,44.12,33.12,9.66
318,Grootfontein,48,NA,40,-19.57,18.12,74.35,8.66
319,Sharya,88,RU,96,58.37,45.51,31.95,4.29
320,Camalu,0,MX,57,30.85,-116.07,70.3,12.24
321,Salalah,0,OM,39,17.02,54.09,80.6,10.29
322,Mahebourg,20,MU,69,-20.41,57.7,78.8,12.75
323,Mariestad,0,SE,82,58.71,13.82,26.6,2.24
324,Ostersund,20,SE,86,63.18,14.64,32.0,20.8
325,Yantal,64,RU,78,56.85,105.25,1.13,3.74
326,Ponta do Sol,40,PT,68,32.67,-17.1,64.4,11.41
327,Marsh Harbour,64,BS,100,26.54,-77.06,76.55,12.12
328,Alyangula,0,AU,100,-13.85,136.42,80.96,7.76
329,Rio Bueno,75,CL,44,-40.32,-72.97,77.0,2.24
330,Yuksekova,0,TR,100,37.57,44.29,26.6,6.93
331,Miyang,80,CN,94,24.4,103.44,41.81,3.29
332,Grindavik,75,IS,100,63.84,-22.43,37.4,2.24
333,Tema,40,GH,83,5.67,-0.02,82.4,9.17
334,Nome,90,US,100,64.5,-165.41,28.4,12.75
335,Namatanai,92,PG,100,-3.67,152.43,77.05,13.8
336,Lorengau,80,PG,100,-2.02,147.27,84.56,18.61
337,Upernavik,88,GL,100,72.79,-56.15,25.75,19.28
338,Stoke-on-Trent,90,GB,87,53.0,-2.19,46.4,3.36
339,Nikel,75,RU,85,69.41,30.22,23.0,10.29
340,Lufilufi,68,WS,100,-13.87,-171.6,81.86,13.24
341,Rundu,68,NA,83,-17.93,19.77,69.8,5.82
342,Barsovo,90,RU,92,61.17,73.17,26.6,13.42
343,Mrakovo,92,RU,88,52.72,56.62,11.61,6.87
344,Castro,0,CL,70,-42.47,-73.77,68.18,1.39
345,Lucapa,44,AO,85,-8.42,20.74,70.88,4.74
346,Kerman,0,IR,36,30.28,57.08,30.2,4.7
347,Dzilam Gonzalez,92,MX,56,21.28,-88.93,84.38,5.3
348,Ampanihy,32,MG,94,-24.7,44.75,70.16,3.85
349,La Rioja,0,AR,62,-29.41,-66.85,76.6,4.07
350,Vostok,36,RU,57,46.49,135.88,-20.7,1.95
351,Huarmey,24,PE,55,-10.07,-78.15,75.43,4.74
352,Paamiut,88,GL,92,61.99,-49.67,32.05,6.2
353,Sept-Iles,90,CA,79,50.2,-66.38,26.6,2.24
354,Haines Junction,80,CA,78,60.75,-137.51,4.1,2.28
355,Sabzevar,0,IR,67,36.21,57.68,16.83,2.62
356,Beaver Dam,1,US,43,43.46,-88.84,51.8,4.7
357,Bafra,0,TR,75,41.57,35.91,46.4,2.24
358,Mezhdurechenskiy,80,RU,85,59.6,65.93,26.37,5.97
359,Sisimiut,56,GL,100,66.94,-53.67,15.66,2.06
360,Ust-Ilimsk,68,RU,83,58.0,102.66,2.8,5.97
361,Katakwi,0,UG,62,1.89,33.97,68.45,7.65
362,Ojdula,8,RO,74,45.98,26.25,26.56,3.4
363,Sistranda,40,NO,80,63.73,8.83,39.2,13.87
364,Puerto Madero,5,MX,59,14.72,-92.42,89.6,4.7
365,Tres Arroyos,0,AR,63,-38.37,-60.28,60.75,15.7
366,Portland,92,AU,100,-38.33,141.6,58.15,14.03
367,Mana,0,GF,71,5.66,-53.78,82.98,5.08
368,Antalaha,76,MG,98,-14.9,50.28,76.06,7.99
369,Thinadhoo,88,MV,100,0.53,72.93,80.56,15.82
370,Bang Saphan,88,TH,82,11.21,99.51,80.46,10.45
371,Yenagoa,0,NG,83,4.92,6.26,76.95,7.65
372,Kapuskasing,75,CA,86,49.42,-82.43,33.8,13.87
373,Shenjiamen,76,CN,100,29.96,122.3,56.66,19.17
374,Cardston,90,CA,77,49.2,-113.3,32.0,8.05
375,Alta Floresta,24,BR,82,-9.88,-56.09,81.41,1.61
376,Neka,0,IR,93,36.65,53.3,41.0,4.7
377,Myaundzha,56,RU,45,63.05,147.19,-30.69,2.73
378,Pisco,0,PE,69,-13.7,-76.22,73.4,25.28
379,Opuwo,12,NA,25,-18.06,13.84,75.43,6.76
380,Yermakovskoye,12,RU,88,53.28,92.4,19.45,8.99
381,Kabinda,44,CD,94,-6.13,24.48,70.61,2.62
382,Cabot,20,US,49,34.97,-92.02,71.6,8.05
383,Fiumicino,20,IT,81,41.77,12.23,46.4,4.7
384,Tuy Hoa,92,VN,100,13.08,109.3,73.71,9.78
385,Kielce,76,PL,89,50.87,20.63,20.25,6.42
386,Polur,8,IN,93,12.5,79.13,66.87,2.95
387,Taseyevo,88,RU,79,57.22,94.9,15.49,10.45
388,Sola,76,VU,100,-13.88,167.55,77.5,4.41
389,Amga,68,RU,57,60.9,131.96,-32.89,3.74
390,Neryungri,24,RU,63,56.67,124.65,-23.85,11.01
391,Ratnagiri,76,IN,95,16.98,73.3,81.27,6.87
392,Mahina,40,PF,66,-17.51,-149.49,86.0,14.99
393,Samarai,0,PG,100,-10.62,150.67,82.0,13.8
394,Tadine,12,NC,99,-21.55,167.88,75.25,13.35
395,Shahapur,40,IN,54,19.45,73.33,82.4,3.36
396,Aripuana,36,BR,57,-9.17,-60.63,90.1,2.62
397,Nipawin,75,CA,92,53.37,-104.0,14.0,6.93
398,Maniitsoq,64,GL,98,65.42,-52.9,19.81,7.09
399,Scottsbluff,1,US,43,41.87,-103.67,57.2,6.93
400,Codajas,0,BR,41,-3.84,-62.06,94.95,9.33
401,Ouadda,12,CF,57,8.08,22.4,72.41,9.66
402,Colares,0,PT,52,38.8,-9.45,46.4,5.82
403,Mayo,40,CA,83,63.59,-135.9,-4.01,2.73
404,Quatre Cocos,20,MU,69,-20.21,57.76,78.8,12.75
405,Puerto Leguizamo,48,CO,66,-0.19,-74.78,87.04,2.51
406,Macapa,20,BR,52,0.04,-51.07,91.4,14.99
407,Carauari,12,BR,48,-4.88,-66.9,93.79,4.07
408,Saint-Pierre,75,PM,100,46.77,-56.17,32.0,13.87
409,Poya,76,NC,100,-21.35,165.15,74.07,12.12
410,Middleton,90,CA,86,44.95,-65.07,37.4,5.82
411,Inyonga,8,TZ,95,-6.72,32.07,63.19,2.62
412,Resende,92,BR,98,-22.47,-44.45,66.96,2.95
413,Tahe,8,CN,32,52.33,124.73,-22.77,5.53
414,Pelym,0,RU,86,61.01,62.0,18.05,5.97
415,Macon,90,FR,86,46.3,4.83,32.0,4.7
416,Kalmunai,80,LK,100,7.42,81.82,74.03,4.07
417,Mumbwa,44,ZM,87,-14.98,27.06,67.5,5.41
418,Carnarvon,92,AU,75,-24.87,113.63,79.43,6.42
419,Irece,68,BR,44,-11.3,-41.86,83.52,7.99
420,Omachi,0,JP,76,36.5,137.87,12.65,1.61
421,Kangaatsiaq,80,GL,100,68.31,-53.46,25.92,8.43
422,Manhush,80,UA,86,47.06,37.31,44.96,12.01
423,Ciudad Valles,0,MX,56,21.98,-99.02,81.36,4.07
424,Roccastrada,0,IT,75,43.01,11.17,41.0,8.05
425,Vysotsk,90,RU,100,60.63,28.57,33.8,6.93
426,Padang,92,ID,100,-0.95,100.35,78.21,6.76
427,Half Moon Bay,1,US,62,37.46,-122.43,57.2,13.87
428,Orange,44,AU,99,-33.28,149.1,54.64,5.3
429,Auki,88,SB,100,-8.77,160.7,78.08,8.21
430,Lagoa,92,PT,100,39.05,-27.98,63.95,18.39
431,Saint-Leu,0,RE,78,-21.15,55.28,78.8,4.7
